url	game_start_time	home_team_name	home_team_score	visitor_team_name	visitor_team_score	overtime
/boxscores/201311090ATL.html	7:30 pm	Atlanta Hawks		Orlando Magic		
/boxscores/201311090BRK.html	7:30 pm	Brooklyn Nets		Indiana Pacers		
/boxscores/201311090CLE.html	7:30 pm	Cleveland Cavaliers		Philadelphia 76ers		
/boxscores/201311090HOU.html	8:00 pm	Houston Rockets		Los Angeles Clippers		
/boxscores/201311090MEM.html	8:00 pm	Memphis Grizzlies		Golden State Warriors		
/boxscores/201311090MIA.html	7:30 pm	Miami Heat		Boston Celtics		
/boxscores/201311090MIL.html	8:30 pm	Milwaukee Bucks		Dallas Mavericks		
/boxscores/201311090SAC.html	10:00 pm	Sacramento Kings		Portland Trail Blazers		
/boxscores/201311090TOR.html	7:00 pm	Toronto Raptors		Utah Jazz		
/boxscores/201311100LAL.html	9:30 pm	Los Angeles Lakers		Minnesota Timberwolves		
/boxscores/201311100NYK.html	12:00 am	New York Knicks		San Antonio Spurs		
/boxscores/201311100OKC.html	7:00 pm	Oklahoma City Thunder		Washington Wizards		
/boxscores/201311100PHO.html	8:00 pm	Phoenix Suns		New Orleans Pelicans		
/boxscores/201311110BOS.html	7:30 pm	Boston Celtics		Orlando Magic		
/boxscores/201311110CHA.html	7:00 pm	Charlotte Bobcats		Atlanta Hawks		
/boxscores/201311110CHI.html	8:00 pm	Chicago Bulls		Cleveland Cavaliers		
/boxscores/201311110HOU.html	8:00 pm	Houston Rockets		Toronto Raptors		
/boxscores/201311110IND.html	7:00 pm	Indiana Pacers		Memphis Grizzlies		
/boxscores/201311110LAC.html	10:30 pm	Los Angeles Clippers		Minnesota Timberwolves		
/boxscores/201311110PHI.html	7:00 pm	Philadelphia 76ers		San Antonio Spurs		
/boxscores/201311110POR.html	10:00 pm	Portland Trail Blazers		Detroit Pistons		
/boxscores/201311110UTA.html	9:00 pm	Utah Jazz		Denver Nuggets		
/boxscores/201311120DAL.html	8:30 pm	Dallas Mavericks		Washington Wizards		
/boxscores/201311120GSW.html	10:30 pm	Golden State Warriors		Detroit Pistons		
/boxscores/201311120LAL.html	10:30 pm	Los Angeles Lakers		New Orleans Pelicans		
/boxscores/201311120MIA.html	7:30 pm	Miami Heat		Milwaukee Bucks		
/boxscores/201311130ATL.html	8:00 pm	Atlanta Hawks		New York Knicks		
/boxscores/201311130BOS.html	7:30 pm	Boston Celtics		Charlotte Bobcats		
/boxscores/201311130DEN.html	9:00 pm	Denver Nuggets		Los Angeles Lakers		
/boxscores/201311130LAC.html	10:30 pm	Los Angeles Clippers		Oklahoma City Thunder		
/boxscores/201311130MEM.html	8:00 pm	Memphis Grizzlies		Toronto Raptors		
/boxscores/201311130MIN.html	8:00 pm	Minnesota Timberwolves		Cleveland Cavaliers		
/boxscores/201311130ORL.html	7:00 pm	Orlando Magic		Milwaukee Bucks		
